Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success
1.0,Kayserispor,0.15,2.9,TSL,2021-01-09,1.0
2.0,Göztepe,0.26,2.2,TSL,2021-01-09,1.0
0.0,FC Augsburg,0.15,3.5,GPL,2021-01-10,0.0
1.0,Arminia,0.17,4.4,GPL,2021-01-10,1.0
2.0,Draw Arminia v Hertha BSC,0.09,3.5,GPL,2021-01-10,0.0
2.0,Draw Parma v Lazio,0.07,4.1,ISA,2021-01-10,0.0
3.0,Napoli,0.29,1.87,ISA,2021-01-10,1.0
8.0,neftekhimik nizhnekamsk,0.21,2.9,KHL,2021-01-10,0.0
0.0,Cádiz,0.16,2.65,LLA,2021-01-10,1.0
4.0,Timberwolves,0.38,2.46,NBA,2021-01-10,1.0
0.0,Titans          ,0.21,2.58,NFL,2021-01-10,0.0
0.0,Karagümrükspor,0.16,2.55,TSL,2021-01-10,1.0
1.0,Ankaragücü,0.15,3.9,TSL,2021-01-10,0.0
2.0,Rizespor,0.25,2.1,TSL,2021-01-10,0.0
3.0,jokerit helsinki,0.46,1.91,KHL,2021-01-11,0.0
4.0,lokomotiv yaroslavl,0.42,1.61,KHL,2021-01-11,0.0
0.0,Elche,0.15,4.2,LLA,2021-01-11,0.0
1.0,Huesca,0.15,2.9,LLA,2021-01-11,0.0
3.0,76ers,0.41,3.25,NBA,2021-01-11,0.0
5.0,Pacers,0.32,2.46,NBA,2021-01-11,0.0
0.0,Erzurumspor,0.04,6.0,TSL,2021-01-11,0.0
1.0,Alanyaspor,0.42,1.61,TSL,2021-01-11,0.0
0.0,Rochdale,0.07,4.6,ELO,2021-01-12,0.0
0.0,Burnley,0.07,7.0,EPL,2021-01-12,0.0
1.0,Draw Burnley v Man. United,0.06,4.6,EPL,2021-01-12,0.0
2.0,Everton,0.12,3.0,EPL,2021-01-12,1.0
8.0,hc barys,0.17,2.58,KHL,2021-01-12,0.0
0.0,Osasuna,0.11,3.2,LLA,2021-01-12,0.0
1.0,Atlético Madrid,0.29,1.95,LLA,2021-01-12,1.0
0.0,Hornets,0.23,2.46,NBA,2021-01-13,0.0
1.0,Pistons,0.08,5.2,NBA,2021-01-13,0.0
5.0,Suns,0.51,1.47,NBA,2021-01-13,0.0
0.0,PSV,0.32,1.83,NPL,2021-01-13,0.0
1.0,ADO Den Haag,0.22,2.5,NPL,2021-01-13,0.0
2.0,Fortuna Sittard,0.2,3.0,NPL,2021-01-13,0.0
3.0,Feyenoord,0.46,1.48,NPL,2021-01-13,1.0
4.0,red star kunlun,0.37,3.5,KHL,2021-01-14,1.0
5.0,vityaz podolsk,0.25,2.76,KHL,2021-01-14,0.0
1.0,Spurs,0.64,1.4,NBA,2021-01-14,0.0
1.0,Willem II,0.21,3.0,NPL,2021-01-14,0.0
0.0,Monaco,0.29,1.87,FL1,2021-01-15,1.0
0.0,Roma,0.2,2.35,ISA,2021-01-15,0.0
5.0,hk avangard omsk,0.34,2.34,KHL,2021-01-15,0.0
6.0,hc dinamo riga,0.12,3.9,KHL,2021-01-15,0.0
7.0,hc dinamo minsk,0.62,2.46,KHL,2021-01-15,0.0
8.0,torpedo n. novgorod,0.47,2.54,KHL,2021-01-15,0.0
9.0,hc spartak moscow,0.39,1.94,KHL,2021-01-15,0.0
0.0,Cavaliers,0.35,2.24,NBA,2021-01-15,1.0
2.0,Jazz,0.59,1.4,NBA,2021-01-15,1.0
3.0,Kings,0.13,3.1,NBA,2021-01-15,0.0
0.0,Porto,0.26,2.05,PPL,2021-01-15,0.0
0.0,Gençlerbirliği,0.2,2.85,TSL,2021-01-15,0.0
0.0,Sunderland,0.35,1.8,ELO,2021-01-16,1.0
1.0,Hull City,0.43,2.0,ELO,2021-01-16,0.0
2.0,Plymouth Argyle,0.18,3.3,ELO,2021-01-16,0.0
3.0,Doncaster,0.32,2.25,ELO,2021-01-16,1.0
4.0,Charlton Athletic,0.19,2.4,ELO,2021-01-16,1.0
5.0,Peterborough,0.27,2.05,ELO,2021-01-16,1.0
6.0,Draw Stanley v Gillingham,0.09,3.5,ELO,2021-01-16,0.0
7.0,Gillingham,0.1,4.2,ELO,2021-01-16,1.0
8.0,Wigan,0.14,3.1,ELO,2021-01-16,0.0
9.0,Portsmouth,0.19,2.35,ELO,2021-01-16,1.0
10.0,Ipswich Town,0.28,2.25,ELO,2021-01-16,1.0
0.0,Wolves,0.43,1.74,EPL,2021-01-16,0.0
1.0,Brighton,0.18,3.4,EPL,2021-01-16,1.0
2.0,Fulham,0.06,6.0,EPL,2021-01-16,0.0
3.0,Southampton,0.06,4.6,EPL,2021-01-16,0.0
0.0,Toulouse,0.32,2.1,FL2,2021-01-16,1.0
1.0,Troyes,0.29,1.87,FL2,2021-01-16,1.0
2.0,Valenciennes,0.19,3.0,FL2,2021-01-16,0.0
3.0,Amiens,0.35,2.1,FL2,2021-01-16,0.0
4.0,Nancy,0.09,3.5,FL2,2021-01-16,0.0
5.0,Caen,0.11,3.5,FL2,2021-01-16,0.0
6.0,Draw Clermont v Dunkerque,0.08,4.0,FL2,2021-01-16,0.0
7.0,Chambly,0.2,2.35,FL2,2021-01-16,0.0
0.0,Werder Bremen,0.23,2.2,GPL,2021-01-16,1.0
1.0,Wolfsburg,0.13,3.5,GPL,2021-01-16,0.0
2.0,1. FC Köln,0.17,3.2,GPL,2021-01-16,0.0
0.0,Bologna,0.19,2.35,ISA,2021-01-16,1.0
1.0,Spezia,0.09,4.1,ISA,2021-01-16,0.0
2.0,Sampdoria,0.15,3.0,ISA,2021-01-16,1.0
2.0,salavat yulaev ufa,0.59,2.08,KHL,2021-01-16,0.0
3.0,hc sochi,0.29,2.2,KHL,2021-01-16,0.0
3.0,Grizzlies,0.2,2.24,NBA,2021-01-16,1.0
0.0,Rams          ,0.09,3.5,NFL,2021-01-16,0.0
1.0,Bills          ,0.44,1.68,NFL,2021-01-16,1.0
0.0,Emmen,0.08,5.5,NPL,2021-01-16,0.0
1.0,Draw Emmen v Vitesse,0.09,4.3,NPL,2021-01-16,0.0
